City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bethanien,NA,2022-05-07 19:01:44,-26.502,17.1583,52.83,47,0,10.36
1,Mataura,NZ,2022-05-07 19:01:44,-46.1927,168.8643,57.47,98,100,2.15
2,Trinidad,BO,2022-05-07 19:01:45,-14.8333,-64.9,86.16,35,22,3.65
3,Poum,NC,2022-05-07 19:01:13,-20.2333,164.0167,76.84,70,34,17.69
4,Bambous Virieux,MU,2022-05-07 19:01:45,-20.3428,57.7575,77.22,79,22,14.83
5,Salalah,OM,2022-05-07 19:01:46,17.0151,54.0924,80.8,80,15,6.13
6,Inhambane,MZ,2022-05-07 19:01:46,-23.865,35.3833,71.37,81,0,4.76
7,Mitu,CO,2022-05-07 19:01:47,1.1983,-70.1733,79.07,74,94,3.49
8,Lavrentiya,RU,2022-05-07 19:01:47,65.5833,-171.0,26.01,96,72,6.2
9,Hermanus,ZA,2022-05-07 19:01:48,-34.4187,19.2345,55.8,79,15,7.31
10,Tual,ID,2022-05-07 19:01:48,-5.6667,132.75,84.96,77,21,20.15
11,Parana,AR,2022-05-07 19:01:08,-31.732,-60.5238,74.55,66,83,8.81
12,Ilulissat,GL,2022-05-07 19:01:49,69.2167,-51.1,28.42,59,0,6.91
13,Lensk,RU,2022-05-07 19:01:50,60.7253,114.9278,37.56,87,100,6.51
14,Castro,BR,2022-05-07 19:01:37,-24.7911,-50.0119,65.07,52,78,4.43
15,Saint George,US,2022-05-07 19:00:53,37.1041,-113.5841,88.79,16,0,20.71
16,Cape Town,ZA,2022-05-07 19:01:50,-33.9258,18.4232,58.91,74,7,11.01
17,Torbay,CA,2022-05-07 19:01:51,47.6666,-52.7314,43.88,64,100,8.01
18,Xiaoweizhai,CN,2022-05-07 19:01:52,26.1903,107.5125,65.34,99,100,1.68
19,Carnarvon,AU,2022-05-07 19:01:52,-24.8667,113.6333,75.18,53,78,8.34
20,Tres Arroyos,AR,2022-05-07 19:01:52,-38.3739,-60.2798,74.19,36,10,15.77
21,Saint-Georges,GD,2022-05-07 18:57:40,12.0564,-61.7485,83.88,74,40,16.11
22,Hobart,AU,2022-05-07 18:58:37,-42.8794,147.3294,53.46,75,100,11.5
23,Rikitea,PF,2022-05-07 19:01:53,-23.1203,-134.9692,77.54,83,75,12.08
24,Samarai,PG,2022-05-07 19:01:54,-10.6167,150.6667,82.63,80,47,12.12
25,Road Town,VG,2022-05-07 18:57:50,18.4167,-64.6167,81.0,70,0,11.41
26,Nachingwea,TZ,2022-05-07 19:01:54,-10.3833,38.7667,71.83,81,60,3.47
27,Pevek,RU,2022-05-07 19:01:55,69.7008,170.3133,24.46,92,100,5.55
28,Ushuaia,AR,2022-05-07 19:01:37,-54.8,-68.3,47.03,74,22,15.37
29,Abonnema,NG,2022-05-07 19:01:56,4.7084,6.7931,80.51,83,100,5.95
30,Zhicheng,CN,2022-05-07 19:01:57,30.2956,111.5047,67.12,78,29,3.71
31,Rafaela,AR,2022-05-07 19:01:57,-31.2503,-61.4867,77.0,40,100,5.99
32,Narrabri,AU,2022-05-07 19:01:58,-30.3167,149.7833,43.52,83,34,1.01
